merchant,category,amount,street,city,state,zip,latitude,longitude,city_population,job,unix_time,merchant_latitude,merchant_longitude,is_fraud,transaction_date,transaction_time
"fraud_Rippin, Kub and Mann",misc_net,4.97,561 Perry Cove,Moravian Falls,NC,28654,36.0788,-81.1781,3495,"Psychologist, counselling",1325376018,36.011293,-82.048315,0,1/1/2019,0:00:18
"fraud_Heller, Gutmann and Zieme",grocery_pos,107.23,43039 Riley Greens Suite 393,Orient,WA,99160,48.8878,-118.2105,149,Special educational needs teacher,1325376044,49.159047,-118.186462,0,1/1/2019,0:00:44
fraud_Lind-Buckridge,entertainment,220.11,594 White Dale Suite 530,Malad City,ID,83252,42.1808,-112.262,4154,Nature conservation officer,1325376051,43.150704,-112.154481,0,1/1/2019,0:00:51
"fraud_Kutch, Hermiston and Farrell",gas_transport,45,9443 Cynthia Court Apt. 038,Boulder,MT,59632,46.2306,-112.1138,1939,Patent attorney,1325376076,47.034331,-112.561071,0,1/1/2019,0:01:16
fraud_Keeling-Crist,misc_pos,41.96,408 Bradley Rest,Doe Hill,VA,24433,38.4207,-79.4629,99,Dance movement psychotherapist,1325376186,38.674999,-78.632459,0,1/1/2019,0:03:06
"fraud_Stroman, Hudson and Erdman",gas_transport,94.63,4655 David Island,Dublin,PA,18917,40.375,-75.2045,2158,Transport planner,1325376248,40.653382,-76.152667,0,1/1/2019,0:04:08
fraud_Rowe-Vandervort,grocery_net,44.54,889 Sarah Station Suite 624,Holcomb,KS,67851,37.9931,-100.9893,2691,Arboriculturist,1325376282,37.162705,-100.15337,0,1/1/2019,0:04:42
fraud_Corwin-Collins,gas_transport,71.65,231 Flores Pass Suite 720,Edinburg,VA,22824,38.8432,-78.6003,6018,"Designer, multimedia",1325376308,38.948089,-78.540296,0,1/1/2019,0:05:08
fraud_Herzog Ltd,misc_pos,4.27,6888 Hicks Stream Suite 954,Manor,PA,15665,40.3359,-79.6607,1472,Public affairs consultant,1325376318,40.351813,-79.958146,0,1/1/2019,0:05:18
"fraud_Schoen, Kuphal and Nitzsche",grocery_pos,198.39,21326 Taylor Squares Suite 708,Clarksville,TN,37040,36.522,-87.349,151785,Pathologist,1325376361,37.179198,-87.485381,0,1/1/2019,0:06:01
fraud_Rutherford-Mertz,grocery_pos,24.74,1831 Faith View Suite 653,Clarinda,IA,51632,40.7491,-95.038,7297,IT trainer,1325376383,40.275891,-96.011548,0,1/1/2019,0:06:23
fraud_Kerluke-Abshire,shopping_net,7.77,43576 Kristina Islands,Shenandoah Junction,WV,25442,39.3716,-77.8229,1925,Systems developer,1325376413,40.103866,-78.624459,0,1/1/2019,0:06:53
fraud_Lockman Ltd,grocery_pos,71.22,3337 Lisa Divide,Saint Petersburg,FL,33710,27.7898,-82.7243,341043,"Engineer, land",1325376416,27.630593,-82.308891,0,1/1/2019,0:06:56
fraud_Kiehn Inc,grocery_pos,96.29,5916 Susan Bridge Apt. 939,Grenada,CA,96038,41.6125,-122.5258,589,Systems analyst,1325376447,41.65752,-122.230347,0,1/1/2019,0:07:27
fraud_Beier-Hyatt,shopping_pos,7.77,1632 Cohen Drive Suite 639,High Rolls Mountain Park,NM,88325,32.9396,-105.8189,899,Naval architect,1325376543,32.863258,-106.520205,0,1/1/2019,0:09:03
fraud_Schmidt and Sons,shopping_net,3.26,870 Rocha Drive,Harrington Park,NJ,7640,40.9918,-73.98,4664,"Radiographer, diagnostic",1325376560,41.831174,-74.335559,0,1/1/2019,0:09:20
fraud_Lebsack and Sons,misc_net,327,44259 Beth Station Suite 215,Lahoma,OK,73754,36.385,-98.0727,1078,"Programme researcher, broadcasting/film/video",1325376649,36.384092,-99.048472,0,1/1/2019,0:10:49
fraud_Mayert Group,shopping_pos,341.67,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,1325376658,38.674491,-88.305767,0,1/1/2019,0:10:58
"fraud_Konopelski, Schneider and Hartmann",food_dining,63.07,268 Hayes Rue Suite 811,Harborcreek,PA,16421,42.1767,-79.9416,2518,Event organiser,1325376674,41.430274,-79.492553,0,1/1/2019,0:11:14
"fraud_Schultz, Simonis and Little",grocery_pos,44.71,269 Sanchez Rapids,Elizabeth,NJ,7208,40.6747,-74.2239,124967,Operational researcher,1325376754,40.079588,-74.848087,0,1/1/2019,0:12:34
